Topic	Question	Answer
Амо	Нет сообщений в сделке	1. Пришлите, пожалуйста, скриншот сделки, в которой нет сообщения, и скриншот этой же сделки, где нажали на верхнее поле Поиск и фильтры. Сообщения чатов должны быть отмечены галкой. https://monosnap.com/file/BCZsRsBYHW4uf5vrENvyo6hA3gXzMc  2. Если у "Сообщения чатов" галки стоят, проверьте, пожалуйста, есть ли дубли сделок/контактов. Если есть дубли контактов/сделок, посмотрите, возможно там есть сообщение. (в амо в поиске по номеру телефона поискать)  3. Если дублей нет, пришлите, пожалуйста, скриншот из списка событий в амо, чтобы временной диапазон был тот, в котором приходило сообщение. Амо-Аналитика-Список событий. В списке событий можно увидеть событие "Входящее сообщение" и увидеть к чему оно привязалось. https://monosnap.com/file/tQkcyMFML3g4BkXYOm2lzfC0dNsjPY  ПУНКТ для Л1 4. Если дублей нет и нет информации в списке событий, то проверяем логи отправки сообщения в амо через админку по инструкции. - если по логам сообщение отправляли, то копируй логи в комментарий в обращение, указывай всю информацию, которую узнал и создавай подзадачу на Кирилла. - если по логам сообщение не отправляли, то со всей инфой заводи задачу на л3. https://www.notion.so/92a7b8e316924c28ab69ca27d3c75b6d#8cb100b180e44aee8a9b71e58bfcbb16
Амо	Отображаются ли голосовые в сделке?	В сделке голосовые отображаются и их также можно прослушать. https://monosnap.com/file/kUh3ikDeWEJimqNlVRYZWDsU5HLavu
Амо	Сменить канал для отправки сообщений массово	Если после предложения сменить канал вебхуком либо руками через виджет, клиент жалуется, что у него милионы сделок и веб-хуком не получается, то ведем на л3, ребята могут сменить массово канал для отправки на аккаунте
Амо	В виджете от амо при клике на whatsapp подставляется id	Этот id подставляется, если клиент используется crm plugin от амо Добавлен функционал для проброса пикселя в WhatsApp, если беседа начинается с сайта визитки или через кнопку на сайте. https://www.amocrm.ru/new/changelog  При переходе из виджета амо ставится код типа ID: OpD9eF45eGY Стандартными средствами она не отключается. Можно код кнопки подпилить, но не рекомендуем
Амо	Обрезанное поле в вебхуке	Если в веб-хуке обрезанное поле, необходимо в Амо-Настройки-Интеграции-нажать Сохранить в нашем виджете. Пример обрезанного поля: https://monosnap.com/file/uiwBHciFcTjqJp4WS0ortRgIGDYGJj  Пример необрезанного поля: https://monosnap.com/file/fhe16Rhm675m8yjjgBSKEnPmPoahef
Амо	Перенос текста в вебхуке	Если поле необрезанное, то перенос текста на новую строку можно сделать с помощью shift+enter
Амо	Можно ли писать из карточки контакта/компании	Из нативного чата можно писать только из сделки Из контакта можно открыть виджет и оттуда написать Из компании написать никак не получится
Амо	Что означает whatsappWZ под именем контакта	Кнопка whatsappWZ под именем контакта в сделке означает, что с контактом есть чат в WhatsApp через Wazzup https://monosnap.com/file/tpJHpYsYQhjaAPCgW3As4Ld2075aGt
Амо	Можно ли чтобы у сделок разделялся тег на директ и комментарий из инсты	Можно использовать бота на постановку тега Сообщения из директа приходят обычным сообщением, а комментарии приходят с ссылкой на сам пост: https://monosnap.com/file/XhVYenGjk6p8mCQXgayZ4aKSr4CMOM  У бота сделать условие, что если сообщение содержит "комментарий к посту", то ставить тег "комментарий"
Амо	Клиент хочет удалить канал, а диалоги перекинуть на другой канал	С помощью вебхука можно переадресовать диалоги с одного канала на другой: https://wazzup24.com/help/ru/how-to-configurate/change-the-channel-for-sending-messages-using-webhook-from-digital-pipeline/  Только лучше переводить партиями, а не все сразу, иначе может быть превышение лимита по апи у интеграции.
Амо	В сделке отображается переход по ссылке, заход на сайт которую отправили	Пример: https://monosnap.com/file/JGkQD6QzVMUSO0BBRPcpZrFguJO1y5  Если в настройках интеграции в ЛК Wazzup включен антисокращатель ссылок (Интеграции - раздел Дополнительно - 2. Расшифровывать ссылки, отправленные Salesbot, в обычный вид), то это мы заходим, в случае, если переход отображается почти сразу после отправки сообщения с ссылкой
Амо	При отправке сообщения "Произошла ошибка поиска сделки"	Обычно такая ошибка, когда в момент отправки сообщения за контакт ответственный Робот. Попросить клиента прислать скриншот из карточки контакта, чтобы было видно ответственного, адресную строку браузера, и скриншот из сделки, чтобы было видно ответственного (ответственный должен быть один, если они разные, нужно сделать, чтобы был один) и адресную строку браузера. Если ответственный Робот - сказать клиенту, чтобы сменили на нужного ответственного Если ответственный в контакте тот же сотрудник, что и за сделку - завести задачу на л3  Также, такая ошибка может возникать, если сменили домен у амо, Л1 проверить это можно так: - скопировать домен интеграции, вставить в новой вкладке и перейти:      - если домен не меняли, будет такая страница, с предложением войти в аккаунт: https://monosnap.com/file/QCXLl2T80jEA6OwxtVqJ2MwlAv5wok      - если домен меняли, будет открываться главная страница: https://monosnap.com/file/SX2IkKyEpgIjiWU3IruqzhZQbiGB6p Или же можно просто сравнить домен интеграции в ЛК Ваззап и домен интеграции на скриншотах от клиента. И если домен меняли, необходимо будет переустановить интеграцию.
Амо	Менеджеры видят чужие диалоги	Для Л1: Кому показываем диалоги с ролью менеджер: 1. всегда показываем ответственному за контакт. 2. показываем ответственному за открытую сделку, но не показываем ответственному за закрытую (если сделку закрыли - диалог продолжит видеть ответственный за контакт). 3. диалоги с контактами, которые в неразобранном, показываем всем. Запроси ниже инфу и сравни с логикой, которая описана выше. Обязательно проверь роль сотрудника в ЛК клиента. Если все все проверил, то ставь задачу на л3.  Пришлите, пожалуйста, следующее: - от лица сотрудника скриншот диалога который он видит, но не должен, и имя сотрудника; - скриншот сделки по этому контакту, чтобы было видно ответственного, данные контакта и адресную строку браузера; - скриншот карточки этого контакта, чтобы было видно ответственного и адресную строку браузера; - скриншот из поиска амо по номеру телефона, чтобы было видно, что нет дублей контакта. А если есть, то проверить контакты, возможно, сотрудник в какой-то карточке является ответственным. Примеры нужных скриншотов также прикладываю: https://monosnap.com/file/G2JJDizkTLodF1E7J1Xh7ZfTTecvUZ https://monosnap.com/file/zrhMQEHmKn58u3bvvLcBFiC6G6Ut9H https://monosnap.com/file/1qEUEdz68rjt0WWGiFUKYK5f5outUX 
Амо	Digital Pipeline В сделке нет номеров телефона	Если вебхук запускается сразу при создании сделки в этапе, то, вероятно, в этот момент у контакта еще нет телефона. Рекомендуем поставить задержку на срабатываение вебхука. Или отдельный этап сделать для этого, чтобы вебхук запускался тогда, когда у контакта уже гарантированно заполнено поле 'телефон'.  *Если задержка стоит, но все равно появляется ошибка, лучше сходить на л3
Амо	Как найти интеграторов амо	Можно через оф форму АМО оставить заявку https://www.amocrm.ru/application/
Амо	Сделки падают в Неразобранное, хотя в настройках выбран этап	1. Собираем примеры. 2. Проверь в лк клиента, включен хотя бы у одного сотрудника ползунок Получает новых клиентов. Если не включен, то нужно, чтобы хотя бы одному включили. 3. Уточняем обстоятельства, при которых ситуация возникает (новая входящая заявка через наш виджет, заявка с сайта сообщение отправил веб-хук и т.п.). 4. Если это новая заявка через наш виджет и, внимание, она создается "не в том этапе" (т.е. клиент в ЛК выбрал этап, а сделки падают в неразобранное) - уточняем тариф клиентав амо, коллеги из АМО начали вводить ограничения на кол-во сделок по тарифам, соответственно мы тоже не можем создать сделку, получаем ошибку 205. При ограничении также на сделках появляется изображение "замочка" и кнопка "новая сделка" становится неактивной. 5. Если это новая заявка через наш виджет, создается и сделка и дубль в неразобранном, то передергиваем часовой пояс (не забываем сохранять изменения), нажимаем "сохранить" в нашем виджете, наблюдаем за ситуацией. 6. Если ничего из вышеперечисленного не подошло - ведем на л2.
Амо	Если в контроле дублей не появляется зеленый ваззап	Необходимо переустановить интеграцию Сначала удаляем из ЛК WAZZUP, потом из АМО, устанавливаем так же сначала в ЛК WAZZUP, потом в АМО.
Амо	Не отображается кнопка Написать в WhatsApp в АмоСрм	При нажатии на номер телефона кнопка будет только в карточке сделки, проси скриншот и проверяй, где пробуют нажать. У нас есть 3 кнопки https://monosnap.com/file/CrWYja2LGwSLjMpyIHnDDMD6Ol3dNH 1) Для вызова нативного чата Амо 2) Для вызова виджета Wazzup 3) Для вызова глобального чата WZ Какая именно не отображается?  Только у вас или у всех менеджеров?  С какого браузера работаете?  Если не открывается и ничего не отображается, проверьте в другом браузере
Амо	Ответственный общался с канала1, потом у него забрали роль и дали на канале 2, с какого канала отправится сообщение из нативного?	У нас нет возможности узнать, кто пишет из нативного чата амо (сотрудник/бот), сообщение будет отправляться с того канала, с которого в последний раз в сделке и общались, т.е. с канала1, при этом в нашем виджете сотрудник не увидит этот диалог, если у него нет прав у канала1
Амо	В амо появляется Критичная ошибка	Необходимо переустановить интеграцию Перед удалением интеграции рекомендуем сделать скриншоты текущих настроек, чтобы проще было настраивать заново  Сначала удалить интеграцию в ЛК Ваззап, после виджет в амо, и подключить заново по инструкции: https://wazzup24.com/help/ru/how-to-configurate/snachala-podkljuchite-integraciju-2/
Амо	При открытии Wazzup в сделке "Не удалось установить связь."	Для Л1: причины могут быть разные, лучше запросить логи от клиента, как описано тут:  Чтобы разобраться в вопросе, нам понадобятся логи. Пожалуйста, в браузере, находясь в сделке, нажмите на клавиатуре F12 — откроется консоль: 1. Перейдите во вкладку Network.  2. Отметьте галочками ☑ «Preserve log» и ☑ «Disable cache». 3. Нажмите на кнопку открытия нашего чата и подождите пока в консоли прогрузятся логи (они начнут сыпаться, а потом все прекратится). 4. Нажмите кнопку экспорта ⤓ (стрелка вниз, указывающая на горизонтальную черту) 5. Сохраните файл.  6. Перейдите во вкладку Console. 7. Сделайте скриншот и сохраните его. 8. Отправьте нам, пожалуйста, оба файла: файл с логами и скрин. Наглядно как собрать логи https://monosnap.com/file/rOFC5E7rN7byi0pl2SIrLsa1X03mEz Также уточните у всех сотрудников или нет, во всех сделках или нет?
Амо	Ставятся ли теги в неразобранном	Если в п. 2 настроек интеграции выбрано «Неразобранное» — теги с названием канала ставиться не будут
Амо	Как настроить salesbot, чтобы отправлял сообщение на пропущенный звонок	Выберите у бота условие  «Сообщение клиента» + «Содержит»: «Собственное значение» и добавьте полное системное сообщение о пропущенном звонке: ===SYSTEM WZ===Пропущенный звонок Пример на скриншоте: https://monosnap.com/file/TZFByERQYaUJ3ZSTHw7yZ9S8vNmDWx  Если нужно, чтобы бот срабатывал на сделку в любом этапе, необходимо на каждый этап воронки поставить такого бота. Условием для срабатывания выбрать «При входящем сообщении из чата» https://monosnap.com/file/qv9hsalU4Znhc6a8liWGCgPeCzdRWl  У триггера «При входящем сообщении из чата» есть ограничение, он срабатывает раз в сутки для каждой сделки.
Амо	Можно ли вставить переменные в вебхук?	Нет, переменные вставить не получится.  Переменные можно вставить только в salesbot: https://wazzup24.com/help/ru/how-to-configurate/variables-in-salesbot-ru/
Амо	При отправке сообщения из сделки "Сообщение не отправлено. У менеджера не настроен канал по умолчанию"	Выберите роли для сотрудников в настройках интеграции: раздел «Интеграция с CRM» в личном кабинете Wazzup → п. 1 настроек → нажмите «Выбрать». https://wazzup24.com/help/ru/how-to-configurate/zatem-nastrojte-integraciju/
Амо	Неправильно работает счетчик сообщений WZ	Попробуйте очистить кэш браузера. Часто, из-за того, что кэш память забита, не происходит своевременного обновления и счетчик показывает неправильные сведения. Помогло?  Если не помогло — зайдите в amoCRM в другом браузере или во вкладке инкогнито. Если счетчик работает в другом браузере или во вкладке инкогнито, значит что-то блокирует его работу в первом браузере: расширение, приложение и т.п.  Получилось?
Амо	Можно ли настроить чтобы при открытии сделки всегда внизу было Примечание выбрано	При открытии сделки будет то действие, которое использовалось пользователем в последний раз. Это относится только к примечанию, e-mail и чату. Задача при выборе не учитывается. То есть, если последним действием было примечание, то при открытии сделки в следующий раз, будет выбрано «Примечание». Если последним действием был выбран чат, то при открытии сделки в следующий раз, будет выбран «Чат». https://www.amocrm.ru/support/leads/button_activity
Амо	Сотруднику, не ответственному за сделку/контакт приходят уведомления	Проверьте, пожалуйста, является ли сотрудник, который получает уведомления, участником в сделке: https://monosnap.com/file/phCTrB2DsmnyYwv31bijfks8TjaGPo
Амо	Оставить отзыв в маркетплейсе АмоСрм	Как оставить отзыв в амо: https://monosnap.com/file/0XAnLiWKNSOqAm2BA5nBOrjoaJDg3j https://monosnap.com/file/glW81vPXs13gHvfl4A5Uwmi5Y65DJT
Амо	Бот отправляет несколько сообщений одному контакту	Иногда Salesbot отправляет по несколько сообщений одному и тому же пользователю. Это связано с тем, что с конкретным клиентом создано несколько «чатов» и бот не может понять, что все они связаны с одним и тем же контактом. О том как удалить лишние чаты и решить этот вопрос, описано в нашей инструкции - https://wazzup24.com/help/ru/amocrm-ru/salesbot-sends-multiple-messages-to-one-contact-ru/ Обратите внимание на информацию в статье: беседа открепленного чата исчезнет из чата контакта/сделки, но останется в личном кабинете Wazzup и в WhatsApp.
Амо	Как добавить переменные в Salesbot	Посмотрите, пожалуйста, инструкцию про переменные в Salesbot https://help.wazzup24.com/ru/variables-in-salesbot-ru/
Амо	Шаблоны амосрм	Из карточки сделки можно отправлять шаблоны amoCRM. Как добавить и использовать: https://www.amocrm.ru/support/communications/templates_chats Из виджета с чатами Wazzup можно отправлять наши шаблоны. Добавляются шаблоны в ЛК Wazzup-раздел Шаблоны сообщений-кнопка Добавить шаблон: https://monosnap.com/file/tjmtUROEu1FF6upl550Xy1XRIPLTvh
Амо	Таймер / счетчик в нативных чатах в сделке	Таймер показывает сколько у вас осталось времени для отправки сообщения клиенту.  Например, у интеграции WhatsApp API, когда клиент прислал вам сообщение или ответил на отправленный шаблон — открывается 24 часовое диалоговое окно. В течение этого времени вы можете писать клиенту какие угодно сообщения и в любом количестве. Каждое входящее от клиента сообщение продлевает диалоговое окно еще на 24 часа. Таймер ведет от диалогового окна. Насколько известно, таймер ни на что не влияет и убрать его нельзя.
Амо	Не получается выбрать другой этап с названием Неразобранное в лк	Если другой этап назвать «Неразобранное» — он не будет отображаться в настройках интеграции и не будет доступен для выбора. Назовите его, например, «Неразобранное2»
Амо	Нет чика на кнопке	Необходимо чтобы клиент попробовал нажать Сохранить в нашем виджете в амо, передернул часовой пояс Уточнить у всех или нет юзеров нет чика и на л3
Амо	Если в сделку добавили участников, будут ли они видеть диалоги в виджете?	В нашем глобальном виджете - только ответственный увидит. Их менеджерам будет приходить уведомление из центра нотификаций АМО об ответе клиента, через это уведомление можно сразу перейти в сделку
Амо	Не заполнилось поле Инстаграм	Если в п. 2 настроек интеграции выбран этап «Неразобранное» — поле InstagramWZ автоматически заполняться не будет. Оно заполняется автоматически только, если в п. 2 настроек интеграции выбран любой другой этап и воронка, кроме «Неразобранного».
Амо	Мобильное приложение Амо	Нашего виджета в приложении amoCRM нет, писать можно через сделки. 1. Написать первым из приложения: 2. Перейдите в «Сделки» в нижней панели. 3. Откройте нужную сделку или создайте новую. 4. Нажмите на Инфо «⋯» в правом верхнем углу → «Контакты» → Значок «⋯» справа от имени контакта → Номер телефона. 5. Напишите в чат. https://wazzup24.com/help/ru/amocrm-ru/first-message-from-amocrm-mobile-app-ru/
Амо	Можно ли в амо отключить создание сделок на входящее/исходящее совсем?	Создание сделок на первое входящее/исходящее сообщение не отключить.
Амо	Дубли сделок	В первую очередь спрашиваем - какой тариф в амо, если базовый - то будут дубли. Не базовый - идем дальше.  1. Пришлите, пожалуйста, полный скриншот сделки и ее дубля, чтобы было видно адресную строку, контакт и список событий в сделке, где видно как она создана 2. Уточните,не открепляли ли чаты у контактов в сделке и не удаляли ли сущности. Если открепляли или удаляли сущности, то из-за этого могут создаваться дубли. 3. Пришлите, пожалуйста, скриншот из Амо - Амомаркет - нажмите наверху справа кнопку Webhooks: https://monosnap.com/file/UOCdzkMbSGtCrGP55zIhCDEKpdaGWv Если вебхуки отключились, будет так, и нужно будет написать клиенту, чтобы нажал "Включить": https://monosnap.com/file/Iaqz9LyqCw1qUzJLFXAsour4qtfSrl 4. Проверьте, настроен ли контроль дублей: https://monosnap.com/file/udtUJgMWVDnzbR0Q6LpkMGTRnOSiGj и https://monosnap.com/file/DDDA6t8ZzRilGxHvxK9PMGkXp4Ujt7 В контроле дублей отключить виджеты с ограниченной поддержкой. 5. Если все в норме, то уточняем обновлена ли АМО и просим выставить такую настройку https://monosnap.com/file/t5KofNiFGIOvwRnpnOZKpUPnVRqrnM  Если все проверили, но дубли создаются часто, то оставляй подробный комментарий в обращении и создавай подзадачу на Кирилла Гончаренко со всей инфой.
Амо	Где настраивать контроль дублей?	Контроль дублей нужно настраивать в той воронке, в которой WZ как источник стоит. Там будет зеленый виджет. Если не будет - нужно интеграцию переустановить
Амо	Изменили номер телефона в контакте, сообщения не приходят	Чат прикрепляется к конкретному контакту в момент создания. Изменение номера телефона в контакте не формирует новый чат и поэтому менять номер телефона у контакта не нужно, поскольку система ищет в базе данных конкретный Chat Id и пытается отправить сообщение на старый номер контакта.
Амо	Приходит ошибка, что на номере нет WhatsApp	Пришлите, пожалуйста, скриншот сделки, чтобы было видно данные контакта, адресную строку браузера В аккаунте клиента проверь диалог и номер, с которым есть диалог Зачастую клиенты сначала добавляют номер без 7 в начале, пытаются отправить, потом добавляют 7, но пишут в старый чат, где номер без 7 Если ситуация такая, то клиенту нужно открепить чат с неверным номером и заново написать на верный номер Пример: https://wazzup.planfix.ru/task/346642
Амо	Как отображаются сообщения в разных сделках с одним контактом	Сообщения дублируются во все сделки с одним контактом. В сделку попадают только те сообщения, которые прислали контакту после создания сделки. Например, с контактом «Полуэкт Полуэктович» есть закрытая «Сделка № 1». С этим же контактом создают новую «Сделку № 2». Все новые сообщения этому контакту будут в обеих сделках. Сообщения, отправленные контакту до создания «Сделки № 2», будут только в «Сделке № 1».
Амо	С какого канала отправится исходящее сообщение из сделки (с какого канала сейлсбот отправит сообщение)	Для л1! Не надо все отправлять, смотри по ситуации и объясняй клиенту) Если переписка уже была, то отправляем с канала, с которого последний раз переписывались, не важно что выбрано в роли и в п.4 дополнительных настроек интеграции, т.к. у нас нет возможности узнать кто пишет из нативного чата (сотрудник/бот) Если переписки еще не было: - если у ответственного по сделке в роли выбран один канал, то отправим с этого канала; - если у ответственного по сделке в роли выбрано несколько каналов, то отправим с канала, который выбран в п.4 в разделе Дополнительно; - если роли у ответственного по сделке нет, то появится ошибка
Амо	Если у контакта несколько телефонов, на какой номер бот отправит сообщение	🤖 Если чаты были созданы со всеми номерами — отправит на все номера, если чатов не было — отправит сообщение на первый в списке номер.
Амо	Salesbot отправляет сообщение во все мессенджеры	Salesbot не отличает куда нужно писать, а куда не нужно, поэтому он отправляет сообщения во все мессенджеры, которые добавлены в сделку. Чтобы открепить приложение от сделки, нажмите на его иконку под именем клиента → в выпадающем списке выберите «Открепить чат» и перезагрузите страницу https://wazzup24.com/help/ru/amocrm-ru/salesbot-sends-multiple-messages-to-one-contact-ru/
Амо	На каких тарифах амо работает бот	✅ Digital pipeline и Salesbot доступны на тарифах «Расширенный» и «Профессиональный» ❌ На тарифе «Базовый», в пакетах «Микро-бизнес» и «Старт-ап» Digital pipeline и Salesbot не доступны.
Амо	Аналитика амосрм	В аналитике amoCRM подсчитываются диалоги именно из нативных чатов, то есть, написанные в интерфейсе сделки. Сообщения, написанные в дополнительном окне чатов Wazzup, не учитываются в этой аналитике. Вы можете подключить сервисы более подробной аналитики для amoCRM https://help.wazzup24.com/ru/roistat-yandex-metrics-and-google-analytics-in-amocrm-ru/
Амо	После удаления сделки, контакт написал снова и попал в неразобранное	Удаляя сущность из амо, ее ID сохраняется в базе и дальнейшая работа с этим контактом происходит по ID удаленной сделки, из-за чего, когда контакт написал снова-он попал в неразобранное.  Рекомендуем тестировать с номером, по которому ничего в амо не удаляли
Амо	Что нужно для обращения в ТП Амо	Отправим по вашему вопросу обращение в техническую поддержку amoCRM. Наши разработчики совместно со специалистами amoCRM разберутся с этой ситуацией.  Напишите, пожалуйста: 1. Субдомен: ваше доменное имя, которое находится в адресной строке браузера перед .amocrm.ru — https://ваше доменное имя.amocrm.ru. 2. Номер аккаунта amoCRM. Кликните по картинке своего профиля в левом верхнем углу amoCRM → выедет окошко «Ваш номер клиента хххххххх» → пришлите, пожалуйста, эти 8 цифр номера клиента. 3. ID пользователя. Кликните по картинке своего профиля в левом верхнем углу amoCRM → выедет окошко → зайдите в «Профиль» → сверху, над выбором языка, серая надпись «ID пользователя» → скопируйте и пришлите нам, пожалуйста, номер ID.
